Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","47u","CP_Elec_4x5.3",34.290000,-199.488200,90.000000,top
"C2","47u","CP_Elec_4x5.3",34.290000,-208.943800,-90.000000,top
"C3","10u","CP_Elec_4x5.3",27.867200,-218.363800,180.000000,top
"C4","100n","C_0603_1608Metric",35.899000,-194.410000,0.000000,top
"C5","1n","C_0603_1608Metric",28.964800,-174.646400,90.000000,top
"C6","1n","C_0603_1608Metric",29.015600,-182.274000,-90.000000,top
"C7","1n","C_0603_1608Metric",38.520000,-182.074000,-90.000000,top
"C8","1n","C_0603_1608Metric",53.539600,-174.458800,90.000000,top
"C9","1n","C_0603_1608Metric",53.438000,-182.434400,-90.000000,top
"C10","1n","C_0603_1608Metric",62.937600,-182.485200,-90.000000,top
"C11","1n","C_0603_1608Metric",38.506800,-174.635000,90.000000,top
"C12","1n","C_0603_1608Metric",63.140800,-174.611200,90.000000,top
"C13","10u","CP_Elec_4x5.3",38.100000,-205.000000,90.000000,top
"C14","100n","C_0603_1608Metric",42.545000,-210.185000,0.000000,top
"C15","10u","CP_Elec_4x5.3",43.180000,-205.105000,90.000000,top
"G***","LOGO","okaysynthlogosmall_plswork",121.120352,-151.000000,0.000000,top
"J1","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",25.380000,-194.774000,0.000000,top
"J2","PJ398SM-12","THONK_PJ398SM-12",52.662666,-134.112000,180.000000,top
"J3","PJ398SM-12","THONK_PJ398SM-12",26.924000,-134.112000,180.000000,top
"J4","PJ398SM-12","THONK_PJ398SM-12",39.793333,-134.112000,180.000000,top
"J5","PJ398SM-12","THONK_PJ398SM-12",65.532000,-134.112000,180.000000,top
"J7","PJ398SM-12","THONK_PJ398SM-12",26.924000,-120.244500,180.000000,top
"J8","PJ398SM-12","THONK_PJ398SM-12",39.793333,-120.015000,180.000000,top
"J10","PJ398SM-12","THONK_PJ398SM-12",52.662666,-120.015000,180.000000,top
"J11","PJ398SM-12","THONK_PJ398SM-12",65.532000,-120.015000,180.000000,top
"J12","PJ398SM-12","THONK_PJ398SM-12",40.814333,-51.044000,180.000000,top
"J13","PJ398SM-12","THONK_PJ398SM-12",40.814333,-66.879999,180.000000,top
"J14","PJ398SM-12","THONK_PJ398SM-12",40.814333,-82.715998,180.000000,top
"J15","PJ398SM-12","THONK_PJ398SM-12",51.387666,-51.044000,180.000000,top
