Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","47u","CP_Elec_4x5.3",48.730000,-311.674200,90.000000,top
"C2","47u","CP_Elec_4x5.3",48.730000,-321.129800,-90.000000,top
"C3","10u","CP_Elec_4x5.3",42.307200,-330.549800,180.000000,top
"C4","100n","C_0603_1608Metric",50.339000,-306.596000,0.000000,top
"C5","1n","C_0603_1608Metric",43.404800,-286.832400,90.000000,top
"C6","1n","C_0603_1608Metric",43.455600,-294.460000,-90.000000,top
"C7","1n","C_0603_1608Metric",52.960000,-294.260000,-90.000000,top
"C8","1n","C_0603_1608Metric",67.979600,-286.644800,90.000000,top
"C9","1n","C_0603_1608Metric",67.878000,-294.620400,-90.000000,top
"C10","1n","C_0603_1608Metric",77.377600,-294.671200,-90.000000,top
"C11","1n","C_0603_1608Metric",52.946800,-286.821000,90.000000,top
"C12","1n","C_0603_1608Metric",77.580800,-286.797200,90.000000,top
"C13","10u","CP_Elec_4x5.3",52.540000,-317.186000,90.000000,top
"C14","100n","C_0603_1608Metric",56.985000,-322.371000,0.000000,top
"C15","10u","CP_Elec_4x5.3",57.620000,-317.291000,90.000000,top
"D1","LED_Dual_Bidirectional","LED_D5.0mm",91.960000,-342.900000,0.000000,top
"D2","LED_Dual_Bidirectional","LED_D5.0mm",134.100000,-342.646000,180.000000,top
"D3","1N5819HW","D_SOD-123",41.250000,-303.600000,0.000000,top
"D4","1N5819HW","D_SOD-123",41.250000,-321.000000,180.000000,top
"G***","LOGO","okaysynthlogosmall_plswork",76.454000,-278.892000,0.000000,top
"J1","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Vertical",39.925000,-307.125000,0.000000,top
"J2","PJ398SM-12","THONK_PJ398SM-12",119.718666,-367.792000,180.000000,top
"J3","PJ398SM-12","THONK_PJ398SM-12",93.980000,-367.792000,180.000000,top
"J4","PJ398SM-12","THONK_PJ398SM-12",106.849333,-367.792000,180.000000,top
"J5","PJ398SM-12","THONK_PJ398SM-12",132.588000,-367.792000,180.000000,top
"J7","PJ398SM-12","THONK_PJ398SM-12",93.980000,-353.924500,180.000000,top
"J8","PJ398SM-12","THONK_PJ398SM-12",106.849333,-353.695000,180.000000,top
"J10","PJ398SM-12","THONK_PJ398SM-12",119.718666,-353.695000,180.000000,top
"J11","PJ398SM-12","THONK_PJ398SM-12",132.588000,-353.695000,180.000000,top
"J12","PJ398SM-12","THONK_PJ398SM-12",107.870333,-284.724000,180.000000,top
"J13","PJ398SM-12","THONK_PJ398SM-12",107.870333,-300.559999,180.000000,top
"J14","PJ398SM-12","THONK_PJ398SM-12",107.870333,-316.395998,180.000000,top
"J15","PJ398SM-12","THONK_PJ398SM-12",118.443666,-284.724000,180.000000,top
"J16","PJ398SM-12","THONK_PJ398SM-12",118.443666,-300.560000,180.000000,top
"J17","PJ398SM-12","THONK_PJ398SM-12",118.443666,-316.396000,180.000000,top
"J18","PJ398SM-12","THONK_PJ398SM-12",107.870333,-332.231998,180.000000,top
"J19","PJ398SM-12","THONK_PJ398SM-12",118.443666,-332.232000,180.000000,top
"Q2","MMBT3904","SOT-23",54.400500,-348.318000,0.000000,top
"Q3","MMBT3904","SOT-23",42.417666,-356.000000,0.000000,top
"Q5","MMBT3904","SOT-23",42.048500,-347.872000,0.000000,top
"Q6","MMBT3904","SOT-23",42.350000,-365.016000,0.000000,top
"R1","3.3k","R_0603_1608Metric",67.878000,-367.111000,-90.000000,top
"R2","3.3k","R_0603_1608Metric",77.784000,-369.525000,-90.000000,top
"R3","10k","R_0603_1608Metric",67.878000,-370.350000,-90.000000,top
"R4","10k","R_0603_1608Metric",77.022000,-372.128000,180.000000,top
"R5","1k","R_0603_1608Metric",47.050000,-306.596000,0.000000,top
"R6","10k","R_0603_1608Metric",64.364200,-367.710000,0.000000,top
"R7","3.3k","R_0603_1608Metric",64.364200,-366.059000,0.000000,top
"R8","1k","R_0603_1608Metric",107.950000,-342.265000,-90.000000,top
"R9","3.3k","R_0603_1608Metric",52.447000,-351.046000,0.000000,top
"R10","100k","R_0603_1608Metric",51.431000,-348.315000,90.000000,top
"R11","10k","R_0603_1608Metric",57.273000,-348.189000,-90.000000,top
"R12","3.3k","R_0603_1608Metric",40.383000,-358.540000,0.000000,top
"R13","100k","R_0603_1608Metric",39.430000,-356.000000,90.000000,top
"R14","10k","R_0603_1608Metric",45.272000,-356.063000,-90.000000,top
"R15","1k","R_0603_1608Metric",117.602000,-343.725000,-90.000000,top
"R18","3.3k","R_0603_1608Metric",40.129000,-350.412000,0.000000,top
"R19","100k","R_0603_1608Metric",39.176000,-347.872000,90.000000,top
"R20","10k","R_0603_1608Metric",45.018000,-347.809000,-90.000000,top
"R21","3.3k","R_0603_1608Metric",40.509000,-367.556000,0.000000,top
"R22","100k","R_0603_1608Metric",39.556000,-365.016000,90.000000,top
"R23","10k","R_0603_1608Metric",45.144000,-365.016000,-90.000000,top
"R24","200k","R_0603_1608Metric",42.746800,-284.104800,180.000000,top
"R25","100k","R_0603_1608Metric",39.493200,-284.104800,0.000000,top
"R26","33k","R_0603_1608Metric",41.716000,-286.782400,90.000000,top
"R27","200k","R_0603_1608Metric",40.560000,-291.259600,-90.000000,top
"R28","100k","R_0603_1608Metric",43.455600,-291.259600,-90.000000,top
"R29","33k","R_0603_1608Metric",40.560000,-294.460000,-90.000000,top
"R30","200k","R_0603_1608Metric",55.850800,-291.119400,-90.000000,top
"R31","100k","R_0603_1608Metric",52.955200,-291.119400,-90.000000,top
"R32","33k","R_0603_1608Metric",55.850800,-294.260000,-90.000000,top
"R33","200k","R_0603_1608Metric",63.915600,-284.104800,0.000000,top
"R34","100k","R_0603_1608Metric",67.179000,-284.104800,180.000000,top
"R35","33k","R_0603_1608Metric",66.049200,-286.644800,90.000000,top
"R36","200k","R_0603_1608Metric",64.779200,-291.369200,-90.000000,top
"R37","100k","R_0603_1608Metric",67.979600,-291.369200,-90.000000,top
"R38","33k","R_0603_1608Metric",64.728400,-294.620400,-90.000000,top
"R39","200k","R_0603_1608Metric",80.324000,-291.484000,-90.000000,top
"R40","100k","R_0603_1608Metric",77.428400,-291.535600,-90.000000,top
"R41","33k","R_0603_1608Metric",80.324000,-294.658000,-90.000000,top
"R42","200k","R_0603_1608Metric",53.687600,-284.104800,0.000000,top
"R43","100k","R_0603_1608Metric",56.862600,-284.104800,180.000000,top
"R44","33k","R_0603_1608Metric",54.670000,-286.821000,90.000000,top
"R45","200k","R_0603_1608Metric",81.555400,-284.104800,180.000000,top
"R46","100k","R_0603_1608Metric",78.405800,-284.104800,0.000000,top
"R47","33k","R_0603_1608Metric",79.562000,-286.784000,90.000000,top
"RV1","10k","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles",133.437000,-278.374000,-90.000000,top
"RV2","10k","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles",133.437000,-294.210000,-90.000000,top
