Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","47u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",202.972500,-33.274000,0.000000,top
"C2","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",188.722000,-106.616500,270.000000,top
"C3","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",188.785500,-113.257500,90.000000,top
"C4","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",197.802500,-112.993000,90.000000,top
"C5","47u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",203.173500,-41.656000,180.000000,top
"C6","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",203.163000,-44.704000,180.000000,top
"C7","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",200.279000,-49.884500,90.000000,top
"C8","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",197.866000,-106.426000,270.000000,top
"C9","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",188.785500,-98.806000,270.000000,top
"C10","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",197.993000,-99.885500,270.000000,top
"Q1","MMBT3904","SOT-23",180.848000,-122.682000,0.000000,top
"Q2","MMBT3904","SOT-23",191.389000,-122.555000,0.000000,top
"Q3","MMBT3904","SOT-23",201.803000,-122.682000,0.000000,top
"Q4","MMBT3904","SOT-23",180.737000,-132.207000,0.000000,top
"Q5","MMBT3904","SOT-23",191.278000,-132.207000,0.000000,top
"Q6","MMBT3904","SOT-23",201.803000,-132.207000,0.000000,top
"R1","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",179.284000,-125.222000,180.000000,top
"R2","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",203.176500,-53.086000,0.000000,top
"R3","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",204.510000,-72.072500,180.000000,top
"R4","100K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",178.358800,-122.785500,270.000000,top
"R5","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",184.634500,-105.664000,180.000000,top
"R6","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",184.698000,-107.569000,180.000000,top
"R7","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",183.388000,-123.721500,270.000000,top
"R8","33k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",187.198000,-106.593000,270.000000,top
"R9","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",184.761500,-114.173000,180.000000,top
"R10","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",184.761500,-112.331500,180.000000,top
"R11","33k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",187.261500,-113.244000,90.000000,top
"R12","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",201.826500,-113.919000,0.000000,top
"R13","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",201.779500,-112.077500,0.000000,top
"R14","33k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",199.326500,-113.006500,90.000000,top
"R15","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",205.843500,-70.485000,0.000000,top
"R16","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",253.007500,-88.392000,180.000000,top
"R17","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",252.960500,-90.043000,180.000000,top
"R18","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",248.642500,-91.694000,180.000000,top
"R19","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",202.311000,-78.549500,90.000000,top
"R20","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",209.677000,-74.763000,270.000000,top
"R21","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",209.677000,-78.065000,90.000000,top
"R22","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",203.073000,-81.089500,0.000000,top
"R23","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",202.033500,-105.473500,0.000000,top
"R24","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",202.033500,-107.315000,0.000000,top
"R25","33k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",199.517000,-106.402500,270.000000,top
"R26","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",184.698000,-97.853500,180.000000,top
"R27","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",184.681500,-99.631500,180.000000,top
"R28","33k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",187.198000,-98.766000,270.000000,top
"R29","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",201.953500,-98.996500,0.000000,top
"R30","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",201.906500,-100.774500,0.000000,top
"R31","33k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",199.517000,-99.885500,270.000000,top
"R32","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",189.841500,-125.095000,180.000000,top
"R33","100K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",188.849000,-122.658500,270.000000,top
